Theatre_Name,Theatre_Type,Total_Theatre_Seats_Capacity,Theatre_Max_Price_Seats_Capacity,Theatre_Min_Price_Seats_Capacity,State,City,City_Type,Max_Shows_Allowed_Per_Day,Ticket_Price_Max,Ticket_Price_Min,First_Day_Revenue
Goswami-Kakar,Single Screen,236,231,5,Haryana,Visakhapatnam,C,3,405,59,281550
Agrawal-Bajwa,IMAX,213,207,6,Nagaland,Sultan Pur Majra,C,6,389,128,487746
Wagle PLC,Single Screen,214,214,0,Himachal Pradesh,Hazaribagh,C,4,414,134,354384
Chandran PLC,Mini,135,123,12,Andhra Pradesh,Bhiwani,C,5,389,180,250035
Dubey-Sarraf,IMAX,374,353,21,West Bengal,Dhule,C,3,269,116,292179
Bansal-Dugar,Single Screen,397,381,16,Gujarat,Rajahmundry,C,3,265,161,310623
Bhattacharyya-Sule,Mini,260,247,13,Himachal Pradesh,Bongaigaon,C,3,407,197,309270
Bhagat Group,Single Screen,230,229,1,Bihar,Aizawl,C,6,210,183,289638
Sagar-Tiwari,Single Screen,286,273,13,Haryana,Navi Mumbai,C,3,695,134,574431
Solanki PLC,Mini,163,154,9,Kerala,Bijapur,C,5,551,154,431200
Pandey-Saini,Mini,306,284,22,Maharashtra,Darbhanga,C,5,493,82,709080
"Vyas, Radhakrishnan and Talwar",Single Screen,315,291,24,Chhattisgarh,Hubli–Dharwad,C,4,525,195,629820
"Mukhopadhyay, Narang and Samra",Mini,307,290,17,Maharashtra,Solapur,C,3,365,123,323823
Venkataraman-Banik,Single Screen,320,300,20,Bihar,Vadodara,C,6,436,163,804360
Anand Inc,Single Screen,361,331,30,Tripura,Tinsukia,C,4,547,71,732748
Rattan Group,Mini,363,342,21,Manipur,Pali,C,3,629,110,652284
Deo-Vala,Mini,215,209,6,Assam,Sri Ganganagar,C,4,222,61,187056
"Dhaliwal, Jaggi and Palla",Single Screen,343,339,4,Himachal Pradesh,Visakhapatnam,C,6,422,197,863076
Bhasin-Lata,Single Screen,296,281,15,Uttarakhand,Giridih,C,6,334,87,570954
Kapoor-Bhagat,Multiplex,154,141,13,Andhra Pradesh,Suryapet,C,4,300,182,178664
Behl Group,IMAX,125,117,8,Uttarakhand,Anantapuram,C,4,679,81,320364
"Nanda, Goyal and Mohan",IMAX,168,154,14,Arunachal Pradesh,Sirsa,C,5,696,163,547330
Hans-Setty,IMAX,380,352,28,Gujarat,Mangalore,C,4,590,171,849872
Prasad-Dasgupta,IMAX,232,225,7,Assam,Srikakulam,C,5,602,183,683655
"Hans, Patil and Rai",IMAX,222,214,8,Haryana,Asansol,C,6,249,123,325620
"Goel, Panchal and Kari",Single Screen,239,229,10,Uttar Pradesh,Mathura,C,5,667,188,773115
"Gandhi, Guha and Chacko",Multiplex,170,166,4,Jharkhand,Anand,C,4,406,89,271008
Ranganathan-Ram,Single Screen,132,126,6,Punjab,Vijayawada,C,6,379,188,293292
"Sarin, Bandi and Patla",IMAX,312,309,3,Sikkim,Bangalore,C,4,636,157,787980
"Din, Khalsa and Sem",IMAX,399,398,1,Andhra Pradesh,Hindupur,C,6,454,51,1084458
"Rege, Borra and Saha",Mini,252,228,24,Madhya Pradesh,Bhagalpur,C,6,646,157,906336
Wason-Agate,Single Screen,349,335,14,Punjab,Noida,C,5,433,174,737455
"Savant, Sarma and Kant",Multiplex,299,289,10,Telangana,Korba,C,6,580,92,1011240
Manda and Sons,IMAX,165,165,0,Telangana,Amravati,C,6,513,194,507870
"Bhakta, More and Murthy",Multiplex,142,132,10,Tripura,Dewas,C,6,279,168,231048
Iyer and Sons,Single Screen,125,121,4,Madhya Pradesh,Baranagar,C,6,377,104,276198
"Naik, Sidhu and Choudhry",IMAX,267,257,10,Gujarat,Khora ,C,6,352,157,552204
Taneja and Sons,Mini,141,134,7,Odisha,Ghaziabad,C,3,593,188,242334
"Hayer, Raval and Varty",Multiplex,279,272,7,Haryana,Srikakulam,C,3,609,60,498204
Sarkar LLC,Multiplex,226,220,6,Bihar,Mira-Bhayandar,C,3,528,89,350082
Jayaraman-Chandran,Single Screen,164,149,15,Kerala,Raurkela Industrial Township,C,3,498,105,227331
"Iyer, Sheth and Ratta",IMAX,231,220,11,Bihar,Rampur,C,4,520,79,461076
"Nair, Dixit and Bobal",Single Screen,259,256,3,Rajasthan,Ujjain,C,3,685,129,527241
Sandhu Inc,IMAX,303,273,30,Sikkim,Ozhukarai,C,4,248,112,284256
Rau-Doshi,Multiplex,254,233,21,Himachal Pradesh,Raurkela Industrial Township,C,3,617,194,443505
Hegde-Raju,Multiplex,277,260,17,Assam,Jamshedpur,C,6,548,144,869568
Deep Ltd,Multiplex,359,338,21,Chhattisgarh,Varanasi,C,3,644,157,662907
Johal-Peri,IMAX,154,141,13,Karnataka,Chapra,C,5,535,167,388030
Palla and Sons,Single Screen,322,311,11,Arunachal Pradesh,Loni,C,5,525,187,826660
Chaudhry-Wagle,IMAX,338,311,27,Telangana,Bhimavaram,C,5,375,112,598245
"Comar, Shankar and Pradhan",Multiplex,242,228,14,Madhya Pradesh,Bongaigaon,C,4,594,168,551136
"Srivastava, Date and Swaminathan",IMAX,272,272,0,Madhya Pradesh,Pali,C,6,645,133,1052640
Sarraf-Narula,Single Screen,349,336,13,Maharashtra,Muzaffarnagar,C,5,618,116,1045780
Murthy Group,Mini,243,224,19,Gujarat,Maheshtala,C,5,494,52,558220
Patel Ltd,Single Screen,143,140,3,Meghalaya,Unnao,C,6,460,192,389856
"Khare, Kurian and Sinha",Single Screen,343,312,31,Uttar Pradesh,Aurangabad,C,6,615,54,1161324
Dixit-Padmanabhan,Multiplex,250,243,7,Tripura,Mangalore,C,6,564,112,827016
Dani-Mohan,Mini,397,374,23,Manipur,Anand,C,6,493,185,1131822
"Johal, Pant and Sarkar",Mini,317,296,21,Meghalaya,Bangalore,C,5,569,166,859550
Subramanian-Devi,Mini,256,248,8,Assam,Avadi,C,4,271,99,272000
Saxena PLC,Mini,161,156,5,Arunachal Pradesh,Bhatpara,C,4,320,173,203140
Balasubramanian Group,Mini,368,350,18,Tripura,Tiruppur,C,3,636,99,673146
Chahal-Sidhu,Mini,216,205,11,Kerala,Karnal,C,4,364,53,300812
Majumdar-Bakshi,Single Screen,240,239,1,Rajasthan,Vijayanagaram,C,3,493,124,353853
Badami LLC,Single Screen,351,345,6,West Bengal,Nangloi Jat,C,3,503,122,522801
Sood-Lad,IMAX,345,317,28,Sikkim,Thanjavur,C,5,304,63,490660
"Keer, Palla and Bhandari",Mini,344,337,7,Meghalaya,Danapur,C,3,415,175,423240
Kant PLC,Multiplex,395,392,3,Tamil Nadu,Durgapur,C,4,286,194,450776
"Kade, Wali and Amble",Mini,143,140,3,West Bengal,Dewas,C,3,495,156,209304
"Setty, Comar and Dua",Single Screen,367,343,24,Tamil Nadu,Meerut,C,6,675,163,1412622
"Mistry, Mahajan and Minhas",Mini,319,300,19,Himachal Pradesh,Madurai,C,3,522,75,474075
"Virk, Bhatnagar and Dave",Single Screen,208,200,8,Mizoram,Mysore,C,3,290,111,176664
"Prashad, Ahuja and Palan",Single Screen,382,378,4,Uttarakhand,Bikaner,C,4,211,154,321496
Rattan Inc,IMAX,340,322,18,Andhra Pradesh,Davanagere,C,3,328,123,323490
Maharaj-Mangat,Mini,332,328,4,Telangana,Alappuzha,C,4,683,117,897968
"Dubey, Comar and Brar",Single Screen,317,310,7,Manipur,Bulandshahr,C,4,541,88,673304
"Dada, Bahl and Deep",Mini,172,170,2,Himachal Pradesh,Gurgaon,C,3,294,128,150708
Menon-Handa,Mini,324,317,7,Meghalaya,Mangalore,C,6,562,127,1074258
"Chana, Bala and Som",IMAX,239,223,16,Jharkhand,Amroha,C,6,434,70,587412
Varghese-Dhaliwal,Multiplex,321,301,20,Haryana,Anantapur,C,5,223,73,342915
"Deep, Om and Vala",Single Screen,394,357,37,Gujarat,Panihati,C,3,601,118,656769
"Chada, Sura and Rau",Multiplex,189,174,15,Rajasthan,Maheshtala,C,6,679,121,719766
Saxena PLC,Single Screen,399,372,27,Rajasthan,Kalyan-Dombivli,C,6,256,170,598932
Ramesh LLC,Mini,309,299,10,Goa,Kharagpur,C,5,553,76,830535
Naik Group,Single Screen,268,255,13,Tamil Nadu,Tenali,C,6,357,152,558066
Anne Group,Multiplex,332,327,5,Kerala,Firozabad,C,5,339,132,557565
Sethi Ltd,Multiplex,306,279,27,Bihar,Rajpur Sonarpur,C,3,546,188,472230
Bhat PLC,IMAX,311,308,3,Telangana,Bellary,C,4,475,142,586904
Nazareth PLC,IMAX,326,323,3,Jharkhand,Rohtak,C,4,346,190,449312
Virk-Thaker,Single Screen,247,233,14,Telangana,Malegaon,C,6,272,57,385044
"Padmanabhan, Karnik and Warrior",Single Screen,181,172,9,Mizoram,Rohtak,C,3,492,154,258030
"Ghosh, Keer and Cheema",Multiplex,215,212,3,Gujarat,Madhyamgram,C,6,694,80,884208
Zachariah Inc,Single Screen,355,337,18,West Bengal,Parbhani,C,5,422,173,726640
"Ramanathan, Chawla and Yadav",IMAX,224,210,14,Maharashtra,Patiala,C,4,406,98,346528
"Mall, Tak and Lata",Single Screen,135,131,4,Maharashtra,Jalandhar,C,6,384,179,306120
"Vaidya, Natt and Sankaran",Mini,101,97,4,Jharkhand,Jorhat,C,5,638,200,313430
Roy-Prashad,IMAX,176,162,14,Chhattisgarh,Lucknow,C,6,386,135,386532
"Biswas, Halder and Rajan",IMAX,333,313,20,Tamil Nadu,Mahbubnagar,C,4,567,111,718764
"Chauhan, Srinivasan and Ravi",IMAX,219,206,13,Chhattisgarh,Bharatpur,C,3,372,171,236565
Bhatti Group,IMAX,297,276,21,Tamil Nadu,Bhiwani,C,4,463,59,516108
Iyer Ltd,Single Screen,357,336,21,West Bengal,Danapur,C,3,657,162,672462
Kamdar Ltd,Multiplex,369,340,29,West Bengal,Mumbai,C,3,579,86,598062
Khurana Ltd,IMAX,179,177,2,Nagaland,Malegaon,C,6,610,117,649224
"Devi, Pant and Sharma",Mini,303,283,20,Bihar,Rajahmundry,C,3,646,134,556494
Kala Ltd,IMAX,262,242,20,Tamil Nadu,Madhyamgram,C,6,656,188,975072
Khare-Gole,Multiplex,135,132,3,Meghalaya,Dhule,C,5,326,73,216255
"Dasgupta, Char and Gole",IMAX,150,147,3,Telangana,Anantapuram,C,6,295,126,262458
Chad-Wason,Multiplex,123,118,5,Punjab,Ratlam,C,3,360,141,129555
Bahl Inc,Mini,320,311,9,Jharkhand,Narasaraopet,C,4,481,155,603944
"Yohannan, Hora and Yadav",Single Screen,187,182,5,Gujarat,Patna,C,3,522,147,287217
"Manne, Sibal and Choudhury",Single Screen,354,345,9,Gujarat,Kulti,C,4,446,115,619620
Bhatnagar-Chawla,IMAX,230,209,21,Arunachal Pradesh,Chandrapur,C,3,670,169,430737
Venkataraman-Thaman,Mini,379,369,10,Odisha,Burhanpur,C,3,436,138,486792
"Subramanian, Prashad and Verma",Mini,317,301,16,Assam,Kulti,C,6,642,127,1171644
Ramachandran-Bakshi,Single Screen,296,269,27,Gujarat,Nanded,C,6,264,110,443916
Bhat PLC,IMAX,392,370,22,Kerala,New Delhi,C,5,568,125,1064550
Joshi Ltd,Multiplex,302,294,8,Uttarakhand,Pudukkottai,C,3,499,62,441606
Kapadia-Divan,IMAX,246,222,24,Kerala,Surendranagar Dudhrej,C,4,520,140,475200
Arya-Ramanathan,Single Screen,197,178,19,Meghalaya,Kottayam,C,5,557,85,503805
Bawa-Dhaliwal,Multiplex,120,116,4,Nagaland,Gopalpur,C,6,227,198,162744
"Balakrishnan, Kannan and Devi",Mini,167,165,2,Rajasthan,Vadodara,C,5,377,156,312585
Ravel Ltd,Single Screen,202,198,4,Odisha,Gorakhpur,C,5,481,178,479750
Pillai-Dhaliwal,Mini,184,176,8,West Bengal,Nashik,C,6,622,125,662832
"Barman, Ganesan and Yadav",Mini,158,144,14,Odisha,Shimla,C,3,282,107,126318
"Suresh, Rege and Bhatti",IMAX,385,362,23,Andhra Pradesh,Narasaraopet,C,3,614,151,677223
Cherian Inc,Multiplex,235,218,17,Andhra Pradesh,Fatehpur,C,3,442,144,296412
"Mannan, Rai and Khurana",Mini,399,375,24,Odisha,Salem,C,5,265,109,509955
Nadig-Parikh,IMAX,112,103,9,Haryana,Amroha,C,5,678,106,353940
"Sachdev, Subramaniam and Kamdar",Multiplex,337,318,19,Himachal Pradesh,Jhansi,C,6,269,85,522942
Chandra Ltd,Multiplex,119,115,4,Chhattisgarh,Mira-Bhayandar,C,6,269,74,187386
Golla-Devan,Single Screen,375,367,8,Jharkhand,Asansol,C,6,442,144,980196
Muni-Kamdar,IMAX,400,391,9,Goa,Kirari Suleman Nagar,C,6,545,75,1282620
Dube-Basak,IMAX,308,278,30,Telangana,Bongaigaon,C,5,226,144,335740
"Handa, Prasad and Chauhan",Single Screen,327,299,28,Maharashtra,Suryapet,C,4,647,142,789716
Malhotra-Brar,Multiplex,288,271,17,Uttarakhand,Howrah,C,5,241,151,339390
Ahuja and Sons,Mini,197,194,3,Rajasthan,Salem,C,6,256,104,299856
"Natarajan, Deol and Halder",Multiplex,125,113,12,Mizoram,Hajipur,C,5,334,82,193630
Ram-Menon,Single Screen,135,122,13,West Bengal,Gurgaon,C,4,510,105,254340
"Pandey, Choudhry and Chaudhary",Single Screen,268,244,24,Nagaland,Kanpur,C,4,613,50,603088
Biswas Inc,Mini,174,170,4,Haryana,Farrukhabad,C,5,618,94,527180
Dhar-Sundaram,Multiplex,113,111,2,Rajasthan,Dewas,C,3,393,110,131529
"Basu, Sankaran and Bahri",Mini,108,106,2,Punjab,Mumbai,C,5,236,82,125900
Ganesh Ltd,IMAX,369,362,7,Odisha,Morena,C,3,453,164,495402
Lata-Ghose,Mini,362,356,6,Meghalaya,Saharanpur,C,6,467,106,1001328
Bhavsar and Sons,Multiplex,366,347,19,Rajasthan,Barasat,C,6,539,57,1128696
Chand-Wali,Multiplex,345,320,25,Assam,Silchar,C,6,561,77,1088670
"Loke, Memon and Kala",IMAX,327,323,4,Uttarakhand,Silchar,C,3,374,87,363450
Mall Inc,Multiplex,164,156,8,Manipur,Hazaribagh,C,5,405,185,323300
Kala-Rajan,Mini,332,300,32,Tripura,Tumkur,C,6,260,79,483168
"Ramakrishnan, Borde and Palla",Single Screen,320,292,28,Jharkhand,Udaipur,C,4,421,136,506960
Nagarajan-Sen,IMAX,304,291,13,Maharashtra,Howrah,C,3,370,159,329211
Loyal Group,Mini,230,219,11,Assam,Guna,C,4,561,171,498960
Gokhale-Suresh,Multiplex,146,133,13,Himachal Pradesh,Ballia,C,3,257,160,108783
Naik-Bhavsar,Multiplex,290,265,25,Goa,Gulbarga,C,4,494,65,530140
"Hayre, Nayar and Varghese",Mini,162,149,13,Uttar Pradesh,Eluru,C,5,657,158,499735
"Narang, Mangat and Roy",Multiplex,247,228,19,Jharkhand,Surat,C,5,390,76,451820
Shanker LLC,Single Screen,179,164,15,Uttarakhand,Hyderabad,C,4,643,77,426428
Bhardwaj Inc,Mini,384,361,23,Himachal Pradesh,Panipat,C,3,600,121,658149
"Dasgupta, Thaker and Krish",Single Screen,319,318,1,Jharkhand,Kolhapur,C,5,224,96,356640
Halder Inc,Mini,258,248,10,Manipur,Nanded,C,5,213,96,268920
Malhotra-Srivastava,Single Screen,389,364,25,Manipur,Dehri,C,3,282,57,312219
"Dash, Mohanty and Dada",Multiplex,371,358,13,Meghalaya,Kolhapur,C,6,424,166,923700
Kannan-Pathak,Mini,180,169,11,Arunachal Pradesh,Shahjahanpur,C,5,579,133,496570
Pandit-Vaidya,Multiplex,126,124,2,Chhattisgarh,Anantapuram,C,4,596,62,296112
"D’Alia, Nagi and Sridhar",Multiplex,239,225,14,Goa,Pimpri-Chinchwad,C,6,458,163,631992
Kar-Bains,IMAX,239,233,6,Sikkim,Nizamabad,C,3,386,160,272694
Hora-Pillai,Multiplex,245,224,21,Punjab,Jorhat,C,6,479,128,659904
"Kumar, Doctor and Guha",Multiplex,212,200,12,Manipur,Singrauli,C,3,213,102,131472
"Das, Bail and Choudhary",Mini,208,204,4,Kerala,Kottayam,C,5,358,133,367820
"Bose, Sandhu and Lalla",Multiplex,103,96,7,Telangana,Saharanpur,C,6,299,83,175710
Bhavsar-Mukherjee,IMAX,372,358,14,Gujarat,Khandwa,C,5,246,151,450910
Raja-Salvi,Multiplex,323,322,1,Andhra Pradesh,Tadepalligudem,C,6,681,69,1316106
Ghosh and Sons,Mini,394,367,27,Chhattisgarh,Bongaigaon,C,6,573,156,1287018
Rout Inc,Mini,158,146,12,Punjab,Tadepalligudem,C,3,376,93,168036
Narayan LLC,IMAX,285,283,2,Andhra Pradesh,Burhanpur,C,6,642,77,1091040
Magar-Rao,Single Screen,323,298,25,West Bengal,Ahmednagar,C,3,412,129,378003
Kala-Hayer,Mini,213,203,10,Maharashtra,Eluru,C,4,249,180,209388
Narain PLC,Multiplex,371,339,32,Assam,Kulti,C,4,673,139,930380
"Saran, Mitra and Shanker",Mini,175,168,7,Tripura,Asansol,C,3,284,115,145551
Dey-Palla,Single Screen,188,184,4,Sikkim,Tumkur,C,3,300,176,167712
Hora-Aggarwal,IMAX,388,351,37,Gujarat,Nadiad,C,6,558,194,1218216
Dayal-Shukla,Mini,261,257,4,Haryana,Shivpuri,C,6,244,170,380328
"Pall, Sanghvi and Ratti",IMAX,255,230,25,Odisha,Silchar,C,5,512,64,596800
"Wali, Talwar and Nayak",Mini,359,355,4,Karnataka,Phusro,C,5,446,165,794950
Mandal and Sons,Multiplex,129,124,5,Odisha,Satara,C,5,249,73,156205
Pradhan-Oza,IMAX,336,334,2,Maharashtra,Miryalaguda,C,6,675,196,1355052
Rama-Naidu,Single Screen,264,245,19,Goa,Ranchi,C,6,466,88,695052
Sagar Ltd,Multiplex,330,324,6,Punjab,Bhalswa Jahangir Pur,C,5,575,71,933630
Varty-Mander,Single Screen,120,117,3,Madhya Pradesh,Guna,C,6,434,184,307980
"Karan, Zacharia and Salvi",Single Screen,286,275,11,Assam,Gudivada,C,5,408,154,569470
Pillay LLC,Mini,126,114,12,Uttar Pradesh,Raebareli,C,5,243,134,146550
Dubey-Nigam,Multiplex,385,361,24,Chhattisgarh,Kamarhati,C,5,339,88,622455
"Bhardwaj, Tara and Butala",Mini,141,132,9,Manipur,Bongaigaon,C,4,679,139,363516
Arora-Menon,Mini,300,296,4,Tamil Nadu,Bihar Sharif,C,3,368,193,329100
Sarna-Varty,IMAX,268,242,26,Telangana,Amritsar,C,4,553,184,554440
"Bedi, Sehgal and Nayak",Multiplex,316,293,23,Jharkhand,Thoothukudi,C,3,395,129,356106
"Sunder, Sule and Sabharwal",Single Screen,209,199,10,Punjab,Ujjain,C,6,308,107,374172
Patel-Prabhu,Single Screen,179,177,2,Madhya Pradesh,Hospet,C,5,642,75,568920
Amble LLC,Multiplex,272,248,24,Himachal Pradesh,Kottayam,C,4,515,146,524896
Sinha-Bhasin,Single Screen,183,178,5,Maharashtra,Navi Mumbai,C,4,579,162,415488
"Sathe, Salvi and Ramaswamy",Multiplex,310,287,23,Sikkim,Satna,C,4,437,122,512900
Pandya-Guha,IMAX,219,202,17,Bihar,Noida,C,4,368,170,308904
Sant-Chaudhry,Single Screen,288,267,21,Punjab,Bhilai,C,6,446,122,729864
"Patil, Gandhi and Yadav",IMAX,357,324,33,Punjab,Madurai,C,6,292,101,587646
Sood LLC,Single Screen,228,227,1,Karnataka,Pune,C,6,657,145,895704
Menon Ltd,Multiplex,364,357,7,Gujarat,Amritsar,C,5,252,91,453005
"Lala, Uppal and Venkatesh",Mini,330,298,32,Tripura,Kolkata,C,4,635,161,777528
Shah-Narayan,Multiplex,213,199,14,Jharkhand,Varanasi,C,5,686,56,686490
Comar and Sons,IMAX,127,121,6,Nagaland,Junagadh,C,5,330,148,204090
Radhakrishnan Group,Multiplex,291,284,7,Haryana,Dehradun,C,3,373,75,319371
Sundaram Inc,Mini,174,170,4,Uttarakhand,Gudivada,C,3,356,170,183600
Natt-Bose,Single Screen,340,312,28,Odisha,Hubli–Dharwad,C,3,673,70,635808
Chopra-Bala,Multiplex,231,225,6,Rajasthan,Secunderabad,C,4,490,185,445440
Kanda-Singhal,IMAX,156,147,9,Rajasthan,Madhyamgram,C,4,364,81,216948
Ratta-Purohit,Multiplex,222,209,13,Kerala,Ahmednagar,C,6,242,78,309552
"Rana, Bhagat and Venkataraman",IMAX,374,373,1,Chhattisgarh,Kollam,C,4,577,86,861228
Loke-Khanna,Mini,319,319,0,Bihar,Orai,C,5,333,196,531135
Biswas-Bava,IMAX,195,193,2,Madhya Pradesh,Haldia,C,5,244,184,237300
"Parikh, Sanghvi and Chaudhary",Multiplex,299,272,27,Tripura,Mumbai,C,6,232,149,402762
Chanda Group,Mini,229,229,0,Manipur,Parbhani,C,5,613,67,701885
"Dass, Pau and Mall",Mini,223,202,21,Nagaland,Haridwar,C,3,605,198,379104
"Kant, Saini and Yohannan",Mini,168,167,1,Rajasthan,Darbhanga,C,5,489,136,408995
Goel-Mall,Single Screen,337,307,30,Goa,Kamarhati,C,4,625,84,777580
"Swaminathan, Dar and Muni",Multiplex,334,332,2,Uttarakhand,Durgapur,C,5,313,61,520190
Panchal-Sani,Single Screen,121,116,5,Tripura,Khandwa,C,5,473,151,278115
